2025-09-13 17:10:12,324 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,324 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,324 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,325 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,325 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,325 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,325 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,325 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,325 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,497 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,497 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,497 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,497 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,497 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,498 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,498 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,498 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,498 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,498 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,499 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,499 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,676 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
2025-09-13 17:10:12,677 - course_scheduler.app.data.models - WARNING - Conflict at M3: BIOL1101.1, COMP3401.1
2025-09-13 17:10:12,678 - course_scheduler.app.data.models - WARNING - Found 1 conflicts in schedule:
